properties{
  x = 0,
  y = 0,
  width = 656,
  height = 480,
  min_layer = 0,
  max_layer = 2,
  tileset = "dungeon_blue",
  music = "cave",
}

tile{
  layer = 1,
  x = 432,
  y = 376,
  width = 8,
  height = 64,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 296,
  y = 432,
  width = 144,
  height = 8,
  pattern = "wall_border.2",
}

tile{
  layer = 1,
  x = 448,
  y = 296,
  width = 16,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 440,
  y = 312,
  width = 24,
  height = 128,
  pattern = "wall.4",
}

tile{
  layer = 1,
  x = 472,
  y = 144,
  width = 144,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 464,
  y = 160,
  width = 24,
  height = 144,
  pattern = "wall.4",
}

tile{
  layer = 1,
  x = 448,
  y = 40,
  width = 160,
  height = 96,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 320,
  y = 48,
  width = 8,
  height = 240,
  pattern = "wall_border.3",
}

tile{
  layer = 1,
  x = 40,
  y = 256,
  width = 272,
  height = 24,
  pattern = "wall.1",
}

tile{
  layer = 1,
  x = 296,
  y = 40,
  width = 24,
  height = 224,
  pattern = "wall.3",
}

tile{
  layer = 1,
  x = 328,
  y = 48,
  width = 128,
  height = 240,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 16,
  y = 256,
  width = 24,
  height = 24,
  pattern = "wall.corner.1",
}

tile{
  layer = 1,
  x = 16,
  y = 280,
  width = 24,
  height = 160,
  pattern = "wall.3",
}

tile{
  layer = 1,
  x = 16,
  y = 440,
  width = 24,
  height = 24,
  pattern = "wall.corner.3",
}

tile{
  layer = 1,
  x = 40,
  y = 440,
  width = 400,
  height = 24,
  pattern = "wall.2",
}

tile{
  layer = 1,
  x = 40,
  y = 280,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1",
}

tile{
  layer = 1,
  x = 40,
  y = 432,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.3",
}

tile{
  layer = 1,
  x = 48,
  y = 432,
  width = 112,
  height = 8,
  pattern = "wall_border.2",
}

tile{
  layer = 1,
  x = 48,
  y = 280,
  width = 272,
  height = 8,
  pattern = "wall_border.1",
}

tile{
  layer = 1,
  x = 40,
  y = 288,
  width = 8,
  height = 144,
  pattern = "wall_border.3",
}

tile{
  layer = 1,
  x = 48,
  y = 288,
  width = 384,
  height = 144,
  pattern = "floor.1",
}

tile{
  layer = 1,
  x = 296,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.1",
}

tile{
  layer = 1,
  x = 296,
  y = 256,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.1",
}

tile{
  layer = 1,
  x = 320,
  y = 280,
  width = 8,
  height = 8,
  pattern = "wall_border.corner_reverse.1",
}

tile{
  layer = 1,
  x = 320,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.1",
}

tile{
  layer = 1,
  x = 320,
  y = 16,
  width = 304,
  height = 24,
  pattern = "wall.1",
}

tile{
  layer = 1,
  x = 328,
  y = 40,
  width = 16,
  height = 8,
  pattern = "wall_border.1",
}

tile{
  layer = 1,
  x = 608,
  y = 40,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.2",
}

tile{
  layer = 1,
  x = 616,
  y = 16,
  width = 24,
  height = 24,
  pattern = "wall.corner.2",
}

tile{
  layer = 1,
  x = 608,
  y = 48,
  width = 8,
  height = 96,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 616,
  y = 40,
  width = 24,
  height = 112,
  pattern = "wall.4",
}

tile{
  layer = 1,
  x = 616,
  y = 144,
  width = 24,
  height = 24,
  pattern = "wall.corner.4",
}

tile{
  layer = 1,
  x = 608,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4",
}

tile{
  layer = 1,
  x = 464,
  y = 136,
  width = 144,
  height = 8,
  pattern = "wall_border.2",
}

tile{
  layer = 1,
  x = 456,
  y = 136,
  width = 8,
  height = 8,
  pattern = "wall_border.corner_reverse.4",
}

tile{
  layer = 1,
  x = 464,
  y = 144,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.4",
}

tile{
  layer = 1,
  x = 464,
  y = 296,
  width = 24,
  height = 24,
  pattern = "wall.corner.4",
}

tile{
  layer = 1,
  x = 440,
  y = 296,
  width = 24,
  height = 24,
  pattern = "wall.corner_reverse.4",
}

tile{
  layer = 1,
  x = 440,
  y = 440,
  width = 24,
  height = 24,
  pattern = "wall.corner.4",
}

tile{
  layer = 1,
  x = 456,
  y = 144,
  width = 8,
  height = 144,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 456,
  y = 288,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4",
}

tile{
  layer = 1,
  x = 432,
  y = 288,
  width = 8,
  height = 8,
  pattern = "wall_border.corner_reverse.4",
}

tile{
  layer = 1,
  x = 440,
  y = 288,
  width = 16,
  height = 8,
  pattern = "wall_border.2",
}

tile{
  layer = 1,
  x = 432,
  y = 296,
  width = 8,
  height = 48,
  pattern = "wall_border.4",
}

tile{
  layer = 1,
  x = 432,
  y = 432,
  width = 8,
  height = 8,
  pattern = "wall_border.corner.4",
}

tile{
  layer = 1,
  x = 72,
  y = 304,
  width = 96,
  height = 80,
  pattern = "water_shallow",
}

tile{
  layer = 1,
  x = 152,
  y = 384,
  width = 144,
  height = 48,
  pattern = "water_shallow",
}

tile{
  layer = 1,
  x = 264,
  y = 336,
  width = 160,
  height = 48,
  pattern = "water_shallow",
}

tile{
  layer = 1,
  x = 208,
  y = 440,
  width = 32,
  height = 16,
  pattern = "water_wall.drain_gate.2",
}

tile{
  layer = 1,
  x = 440,
  y = 344,
  width = 16,
  height = 32,
  pattern = "water_wall.drain_gate.4",
}

tile{
  layer = 1,
  x = 424,
  y = 352,
  width = 16,
  height = 16,
  pattern = "water_shallow",
}

tile{
  layer = 1,
  x = 344,
  y = 48,
  width = 80,
  height = 224,
  pattern = "water_shallow",
}

tile{
  layer = 1,
  x = 424,
  y = 72,
  width = 112,
  height = 48,
  pattern = "water_shallow",
}

tile{
