properties{
  x = 0,
  y = 2560,
  width = 1024,
  height = 512,
  min_layer = 0,
  max_layer = 2,
  world = "outside_world",
  tileset = "light_world",
  music = "same",
}

tile{
  layer = 0,
  x = 312,
  y = 496,
  width = 480,
  height = 16,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 128,
  y = 120,
  width = 288,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 336,
  y = 120,
  width = 8,
  height = 16,
  pattern = "grass.barrier.border.1",
}

tile{
  layer = 0,
  x = 736,
  y = 472,
  width = 64,
  height = 32,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 40,
  y = 448,
  width = 272,
  height = 64,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 0,
  y = 392,
  width = 48,
  height = 128,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 48,
  y = 368,
  width = 8,
  height = 48,
  pattern = "grass.cliff.top.border.3",
}

tile{
  layer = 0,
  x = 56,
  y = 368,
  width = 8,
  height = 48,
  pattern = "cliff.top.3",
}

tile{
  layer = 0,
  x = 904,
  y = 112,
  width = 32,
  height = 32,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 800,
  y = 168,
  width = 224,
  height = 8,
  pattern = "cliff.top.1",
}

tile{
  layer = 0,
  x = 944,
  y = 72,
  width = 80,
  height = 8,
  pattern = "cliff.top.1",
}

tile{
  layer = 0,
  x = 128,
  y = 24,
  width = 48,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 440,
  y = 264,
  width = 48,
  height = 8,
  pattern = "grass.tree.roots.2",
}

tile{
  layer = 0,
  x = 864,
  y = 24,
  width = 32,
  height = 32,
  pattern = "dirt.soil",
}

tile{
  layer = 0,
  x = 512,
  y = 168,
  width = 144,
  height = 8,
  pattern = "cliff.top.1",
}

tile{
  layer = 0,
  x = 600,
  y = 128,
  width = 80,
  height = 16,
  pattern = "house.wall",
}

tile{
  layer = 0,
  x = 0,
  y = 0,
  width = 88,
  height = 272,
  pattern = "sand.soil",
}

tile{
  layer = 0,
  x = 16,
  y = 80,
  width = 16,
  height = 96,
