map{ id = "Buildings/Forest/Link's House", description = "Link's House" }
map{ id = "Buildings/Forest/Thief's Game", description = "Thief's Game" }
map{ id = "Buildings/Kokiri Village/Ben House", description = "Ben House" }
map{ id = "Buildings/Kokiri Village/Blacksmith", description = "Blacksmith" }
map{ id = "Buildings/Kokiri Village/Blue House", description = "Blue House" }
map{ id = "Buildings/Kokiri Village/Bomb Shop", description = "Bomb Shop" }
map{ id = "Buildings/Kokiri Village/Jerry House", description = "Jerry House" }
map{ id = "Buildings/Kokiri Village/Library", description = "Library" }
map{ id = "Buildings/Kokiri Village/Underground F1", description = "Underground F1" }
map{ id = "Buildings/Kokiri Village/Underground F2", description = "Underground F2" }
map{ id = "Dungeon 1/F1", description = "Dungeon 1 F1" }
map{ id = "Dungeon 1/F2", description = "Dungeon 1 F2" }
map{ id = "Dungeon 1/F2_Dark_Room", description = "Dungeon 1 F2 - Dark Room" }
map{ id = "Dungeons/Hyrule Castle/F1", description = "F1" }
map{ id = "Dungeons/Hyrule Castle/F1 Dark Room", description = "F1 Dark Room" }
map{ id = "Overworld (Old)/A1 (Old)", description = "Old A1" }
map{ id = "Overworld/A1/A1", description = "Lost Woods" }
map{ id = "Overworld/A1/Cave", description = "Cave" }
map{ id = "Overworld/A1/Cave Levels/Cave 1", description = "Cave 1" }
map{ id = "Overworld/A1/Cave Levels/Cave 10", description = "Cave 10" }
map{ id = "Overworld/A1/Cave Levels/Cave 11", description = "Cave 11" }
map{ id = "Overworld/A1/Cave Levels/Cave 12", description = "Cave 12" }
map{ id = "Overworld/A1/Cave Levels/Cave 2", description = "Cave 2" }
map{ id = "Overworld/A1/Cave Levels/Cave 3", description = "Cave 3" }
map{ id = "Overworld/A1/Cave Levels/Cave 4", description = "Cave 4" }
map{ id = "Overworld/A1/Cave Levels/Cave 5", description = "Cave 5" }
map{ id = "Overworld/A1/Cave Levels/Cave 6", description = "Cave 6" }
map{ id = "Overworld/A1/Cave Levels/Cave 7", description = "Cave 7" }
map{ id = "Overworld/A1/Cave Levels/Cave 8", description = "Cave 8" }
map{ id = "Overworld/A1/Cave Levels/Cave 9", description = "Cave 9" }
map{ id = "Overworld/A1/Cave Levels/Cave Final", description = "Cave Final" }
map{ id = "Overworld/A1/Cave Loop", description = "Cave Loop Room" }
map{ id = "Overworld/A1/Cave Loop 2", description = "Cave Loop Room 2" }
map{ id = "Overworld/A1/Game of Thieves", description = "Game of Thieves" }
map{ id = "Overworld/A2/A2", description = "Lumberjack Yard" }
map{ id = "Overworld/A2/Lumberjack House", description = "Lumberjack House" }
map{ id = "Overworld/A3/A3", description = "Death Mountain West" }
map{ id = "Overworld/B1/B1", description = "South of Lost Woods" }
map{ id = "Overworld/B2/B2", description = "Fortune Teller Area" }
map{ id = "Overworld/B2/Fortune Teller", description = "Fortune Teller" }
map{ id = "Overworld/B2/Hidden Cave", description = "Hidden Cave" }
map{ id = "Overworld/C1/Bomb Shop/Bomb Shop", description = "Bomb Shop" }
map{ id = "Overworld/C1/C1", description = "Kakariko Village" }
map{ id = "Overworld/C1/Cave", description = "Cave" }
map{ id = "Overworld/C1/Mary House", description = "Mary's House" }
map{ id = "Overworld/C1/Sewer", description = "Sewer" }
map{ id = "Overworld/C1/Shop", description = "Shop" }
map{ id = "Overworld/C1/Storage House", description = "Storage House" }
map{ id = "Overworld/C2/C2", description = "Above Blacksmith" }
map{ id = "Overworld/C3/C3", description = "Blacksmith House" }
map{ id = "Overworld/D1/Chest House", description = "Chest House" }
map{ id = "Overworld/D1/D1", description = "Kakariko Outskirts" }
map{ id = "Overworld/D1/Race House", description = "Race House" }
map{ id = "Overworld/D2/Main Fallen Cemetary", description = "Main Fallen Cemetary" }
map{ id = "Overworld/D2/West Fallen Cemetary", description = "West Fallen Cemetary" }
map{ id = "Overworld/D3/D3", description = "Hyrule Castle and Link's House" }
map{ id = "Overworld/E2/E2", description = "South of Fallen Cemetary" }
map{ id = "Overworld/E3/E3", description = "West of Swamp" }
map{ id = "Overworld/F1/F1", description = "Desert of Solitude" }
map{ id = "Overworld/F2/F2", description = "East of Desert" }
map{ id = "Overworld/F3/F3", description = "Southwest Swamp" }
map{ id = "Storage/Inside Store", description = "Inside Storage" }
map{ id = "Storage/Outside Store", description = "Outside Storage" }

tileset{ id = "castle", description = "Castle" }
tileset{ id = "cave", description = "Cave" }
tileset{ id = "dungeon_blue", description = "Dungeon Blue" }
tileset{ id = "dungeon_grayblue", description = "Dungeon Grayblue" }
tileset{ id = "dungeon_graybrown", description = "Dungeon Graybrown" }
tileset{ id = "house", description = "House" }
tileset{ id = "ice_brightblue", description = "Ice Brightblue" }
